fltno,dest,source,freq,route
I5 740,DEL,BLR,4,DEL-BLR
I5 740,DEL,BLR,2,DEL-BLR
I5 1563,BBI,BLR,7,BBI-BLR
I5 535,BBI,BLR,2,BBI-BLR
I5 535,BBI,BLR,1,BBI-BLR
I5 535,BBI,BLR,1,BBI-BLR
I5 535,BBI,BLR,6,BBI-BLR
I5 535,BBI,BLR,6,BBI-BLR
I5 535,BBI,BLR,1,BBI-BLR
I5 535,BBI,BLR,1,BBI-BLR
I5 535,BBI,BLR,6,BBI-BLR
I5 1565,BBI,BLR,1,BBI-BLR
I5 1559,BBI,BLR,1,BBI-BLR
I5 1559,BBI,BLR,1,BBI-BLR
I5 1559,BBI,BLR,1,BBI-BLR
I5 1559,BBI,BLR,1,BBI-BLR
I5 2393,IXB,BLR,1,IXB-BLR
I5 2393,IXB,BLR,1,IXB-BLR
I5 2393,IXB,BLR,2,IXB-BLR
I5 2393,IXB,BLR,1,IXB-BLR
I5 2393,IXB,BLR,1,IXB-BLR
I5 2393,IXB,BLR,1,IXB-BLR
I5 1130,COK,BLR,1,COK-BLR
I5 1130,COK,BLR,1,COK-BLR
I5 1573,COK,BLR,2,COK-BLR
I5 1573,COK,BLR,6,COK-BLR
I5 1573,COK,BLR,1,COK-BLR
I5 1573,COK,BLR,1,COK-BLR
I5 1727,COK,BLR,1,COK-BLR
I5 984,BOM,BLR,4,BOM-BLR
I5 984,BOM,BLR,4,BOM-BLR
I5 984,BOM,BLR,4,BOM-BLR
I5 302,BOM,BLR,7,BOM-BLR
I5 1459,VTZ,BLR,1,VTZ-BLR
I5 1459,VTZ,BLR,6,VTZ-BLR
I5 361,AMD,BLR,2,AMD-BLR
I5 361,AMD,BLR,5,AMD-BLR
I5 361,AMD,BLR,1,AMD-BLR
I5 361,AMD,BLR,1,AMD-BLR
I5 361,AMD,BLR,1,AMD-BLR
I5 361,AMD,BLR,3,AMD-BLR
I5 361,AMD,BLR,1,AMD-BLR
I5 1622,IXR,BLR,1,IXR-BLR
I5 1622,IXR,BLR,1,IXR-BLR
I5 1622,IXR,BLR,1,IXR-BLR
I5 1622,IXR,BLR,2,IXR-BLR
I5 2469,IDR,BLR,1,IDR-BLR
I5 2469,IDR,BLR,1,IDR-BLR
I5 2469,IDR,BLR,1,IDR-BLR
I5 1825,IXC,BLR,6,IXC-BLR
I5 1473,PNQ,BLR,1,PNQ-BLR
I5 1427,PNQ,BLR,1,PNQ-BLR
I5 1427,PNQ,BLR,1,PNQ-BLR
I5 1427,PNQ,BLR,3,PNQ-BLR
I5 1427,PNQ,BLR,1,PNQ-BLR
I5 1427,PNQ,BLR,1,PNQ-BLR
I5 976,PNQ,BLR,2,PNQ-BLR
I5 976,PNQ,BLR,5,PNQ-BLR
I5 1427,PNQ,BLR,1,PNQ-BLR
I5 1427,PNQ,BLR,1,PNQ-BLR
I5 1427,PNQ,BLR,2,PNQ-BLR
I5 1427,PNQ,BLR,2,PNQ-BLR
I5 1427,PNQ,BLR,1,PNQ-BLR
I5 1983,GAU,BLR,1,GAU-BLR
I5 1983,GAU,BLR,1,GAU-BLR
I5 1983,GAU,BLR,1,GAU-BLR
I5 1983,GAU,BLR,2,GAU-BLR
I5 1983,GAU,BLR,2,GAU-BLR
I5 2392,MAA,BLR,6,MAA-BLR
I5 2392,MAA,BLR,7,MAA-BLR
I5 2392,MAA,BLR,1,MAA-BLR
I5 2392,MAA,BLR,7,MAA-BLR
I5 304,MAA,BLR,3,MAA-BLR
I5 304,MAA,BLR,4,MAA-BLR
I5 811,MAA,BLR,5,MAA-BLR
I5 811,MAA,BLR,1,MAA-BLR
I5 1325,GOI,BLR,1,GOI-BLR
I5 1325,GOI,BLR,5,GOI-BLR
I5 1335,GOI,BLR,5,GOI-BLR
I5 1335,GOI,BLR,1,GOI-BLR
I5 1335,GOI,BLR,5,GOI-BLR
I5 1335,GOI,BLR,5,GOI-BLR
I5 1335,GOI,BLR,5,GOI-BLR
I5 588,CCU,BLR,7,CCU-BLR
I5 545,DEL,IXR,7,DEL-IXR
I5 744,DEL,IXR,7,DEL-IXR
I5 545,DEL,IXR,7,DEL-IXR
I5 631,BOM,IXR,6,BOM-IXR
I5 631,BOM,IXR,6,BOM-IXR
I5 631,BOM,IXR,6,BOM-IXR
I5 1621,BLR,IXR,1,BLR-IXR
I5 1621,BLR,IXR,1,BLR-IXR
I5 1621,BLR,IXR,6,BLR-IXR
I5 1621,BLR,IXR,4,BLR-IXR
I5 1621,BLR,IXR,4,BLR-IXR
I5 752,DEL,IDR,7,DEL-IDR
I5 752,DEL,IDR,7,DEL-IDR
I5 750,DEL,IDR,1,DEL-IDR
I5 748,DEL,IDR,7,DEL-IDR
I5 750,DEL,IDR,1,DEL-IDR
I5 374,BOM,IDR,1,BOM-IDR
I5 2467,BLR,IDR,1,BLR-IDR
I5 445,MAA,IDR,5,MAA-IDR
I5 704,DEL,IXC,7,DEL-IXC
I5 328,BOM,IXC,4,BOM-IXC
I5 1325,BLR,IXC,6,BLR-IXC
I5 1325,BLR,IXC,2,BLR-IXC
I5 735,DEL,PNQ,7,DEL-PNQ
I5 728,DEL,PNQ,7,DEL-PNQ
I5 728,DEL,PNQ,7,DEL-PNQ
I5 1427,JAI,PNQ,1,JAI-PNQ
I5 1427,JAI,PNQ,1,JAI-PNQ
I5 2335,BLR,PNQ,7,BLR-PNQ
I5 1472,BLR,PNQ,1,BLR-PNQ
I5 1426,BLR,PNQ,1,BLR-PNQ
I5 1426,BLR,PNQ,5,BLR-PNQ
I5 1426,BLR,PNQ,1,BLR-PNQ
I5 1472,BLR,PNQ,1,BLR-PNQ
I5 1426,BLR,PNQ,1,BLR-PNQ
I5 1426,BLR,PNQ,5,BLR-PNQ
I5 1426,BLR,PNQ,1,BLR-PNQ
I5 1426,BLR,PNQ,1,BLR-PNQ
I5 1426,BLR,PNQ,4,BLR-PNQ
I5 1426,BLR,PNQ,1,BLR-PNQ
I5 1426,BLR,PNQ,1,BLR-PNQ
I5 454,MAA,PNQ,7,MAA-PNQ
I5 598,CCU,PNQ,7,CCU-PNQ
I5 787,DEL,GAU,7,DEL-GAU
I5 783,DEL,GAU,7,DEL-GAU
I5 678,BOM,GAU,4,BOM-GAU
I5 1982,BLR,GAU,1,BLR-GAU
I5 1982,BLR,GAU,1,BLR-GAU
I5 1982,BLR,GAU,4,BLR-GAU
I5 1982,BLR,GAU,2,BLR-GAU
I5 541,CCU,GAU,7,CCU-GAU
I5 354,HYD,MAA,7,HYD-MAA
I5 510,HYD,MAA,3,HYD-MAA
I5 510,HYD,MAA,4,HYD-MAA
I5 761,DEL,MAA,3,DEL-MAA
I5 761,DEL,MAA,4,DEL-MAA
I5 456,COK,MAA,1,COK-MAA
I5 456,COK,MAA,6,COK-MAA
I5 464,COK,MAA,1,COK-MAA
I5 390,BOM,MAA,7,BOM-MAA
I5 802,BOM,MAA,7,BOM-MAA
I5 810,BLR,MAA,1,BLR-MAA
I5 810,BLR,MAA,5,BLR-MAA
I5 810,BLR,MAA,1,BLR-MAA
I5 446,IDR,MAA,4,IDR-MAA
I5 446,IDR,MAA,1,IDR-MAA
I5 446,IDR,MAA,1,IDR-MAA
I5 446,IDR,MAA,1,IDR-MAA
I5 446,IDR,MAA,1,IDR-MAA
I5 446,IDR,MAA,1,IDR-MAA
I5 449,GOI,MAA,7,GOI-MAA
I5 556,CCU,MAA,7,CCU-MAA
I5 556,CCU,MAA,4,CCU-MAA
I5 556,CCU,MAA,3,CCU-MAA
I5 779,DEL,GOI,6,DEL-GOI
I5 775,DEL,GOI,7,DEL-GOI
I5 798,DEL,GOI,3,DEL-GOI
I5 798,DEL,GOI,4,DEL-GOI
I5 471,BOM,GOI,7,BOM-GOI
I5 1324,BLR,GOI,6,BLR-GOI
I5 1322,BLR,GOI,1,BLR-GOI
I5 1334,BLR,GOI,1,BLR-GOI
I5 1324,BLR,GOI,5,BLR-GOI
I5 1324,BLR,GOI,1,BLR-GOI
I5 970,BLR,GOI,1,BLR-GOI
I5 448,MAA,GOI,7,MAA-GOI
I5 517,HYD,CCU,5,HYD-CCU
I5 517,HYD,CCU,3,HYD-CCU
I5 517,HYD,CCU,4,HYD-CCU
I5 637,HYD,CCU,1,HYD-CCU
I5 637,HYD,CCU,3,HYD-CCU
I5 548,DEL,CCU,1,DEL-CCU
I5 548,DEL,CCU,1,DEL-CCU
I5 578,DEL,CCU,7,DEL-CCU
I5 578,DEL,CCU,7,DEL-CCU
I5 550,DEL,CCU,7,DEL-CCU
I5 548,DEL,CCU,6,DEL-CCU
I5 583,IXB,CCU,3,IXB-CCU
I5 583,IXB,CCU,4,IXB-CCU
I5 583,IXB,CCU,3,IXB-CCU
I5 583,IXB,CCU,4,IXB-CCU
I5 588,IXB,CCU,3,IXB-CCU
I5 588,IXB,CCU,4,IXB-CCU
I5 553,COK,CCU,4,COK-CCU
I5 317,BOM,CCU,7,BOM-CCU
I5 317,BOM,CCU,7,BOM-CCU
I5 921,JAI,CCU,1,JAI-CCU
I5 921,JAI,CCU,3,JAI-CCU
I5 592,BLR,CCU,7,BLR-CCU
I5 592,BLR,CCU,3,BLR-CCU
I5 592,BLR,CCU,4,BLR-CCU
I5 2472,BLR,CCU,3,BLR-CCU
I5 2990,BLR,CCU,1,BLR-CCU
I5 599,PNQ,CCU,7,PNQ-CCU
I5 512,MAA,CCU,7,MAA-CCU
I5 715,DEL,SXR,7,DEL-SXR
I5 709,DEL,SXR,7,DEL-SXR
I5 712,DEL,SXR,6,DEL-SXR
I5 712,DEL,SXR,1,DEL-SXR
I5 746,DEL,SXR,7,DEL-SXR
SG 3014,AMD,KQH,3,AMD-KQH
SG 3014,AMD,KQH,6,AMD-KQH
SG 3014,AMD,KQH,3,AMD-KQH
SG 3014,AMD,KQH,6,AMD-KQH
SG 2976,AMD,KQH,4,AMD-KQH
SG 3014,AMD,KQH,6,AMD-KQH
SG 3726,AMD,ATQ,6,AMD-ATQ
SG 3726,AMD,ATQ,4,AMD-ATQ
